,Augmentation,Match_siglen,diffA,diffB,diffC,DTW_value,dist_value
0,unaugmented,True,0.151495747873937,0.16686343171585793,0.1464832416208104,667.3216608304152,741.7528764382191
1,augmented,True,0.18370185092546273,0.24277138569284643,0.19381190595297645,735.0505252626314,908.3191595797899
2,mixed,True,0.1826113056528264,0.2590295147573787,0.19849424712356178,974.7908954477239,992.9339669834917
3,unaugmented,False,0.2124912456228114,0.14086043021510758,0.15129064532266134,1198.3331665832916,697.6288144072035
4,augmented,False,0.21481740870435218,0.20210105052526264,0.18780890445222612,1399.4132066033017,829.336168084042
5,mixed,False,0.22029014507253628,0.2175937968984492,0.19421710855427718,1327.4102051025513,844.7368684342171
