,Augmentation,Match_siglen,diffA,diffB,diffC,DTW_value,dist_value
0,unaugmented,True,0.15947,0.20408999999999997,0.17127,201.723,208.973
1,augmented,True,0.22492,0.31492,0.25019,177.776,212.232
2,mixed,True,0.23324,0.34421,0.26493,193.246,215.829
3,unaugmented,False,0.24133000000000002,0.169,0.18705000000000002,411.24,210.486
4,augmented,False,0.28107000000000004,0.24621,0.24526,431.645,213.074
5,mixed,False,0.28829,0.2719,0.25952,377.486,214.804
