,Augmentation,Match_siglen,diffA,diffB,diffC,DTW_value,dist_value
0,unaugmented,True,0.1434934934934935,0.1295895895895896,0.12165165165165165,1133.0890890890892,1274.932932932933
1,augmented,True,0.1435535535535535,0.17113113113113113,0.1381881881881882,1290.6196196196197,1604.009009009009
2,mixed,True,0.13206206206206206,0.1738138138138138,0.13206206206206206,1756.5005005005005,1770.6486486486488
3,unaugmented,False,0.1837837837837838,0.11277277277277277,0.11558558558558558,1985.950950950951,1184.836836836837
4,augmented,False,0.15017017017017018,0.15887887887887886,0.1314214214214214,2366.231231231231,1443.7507507507507
5,mixed,False,0.1524124124124124,0.1633133133133133,0.12895895895895895,2277.8568568568567,1474.7067067067067
