trial_id,train_loss,test_loss,training_iteration,train_losses,test_losses,timestamp,checkpoint_dir_name,should_checkpoint,done,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/pred_token,config/use_lstm,config/positional_learnable
6d10d_00000,5.5492986656097045,4.631775789683865,4,"[5.789898072859369, 5.580076806995285, 5.566938560650531, 5.5492986656097045]","[4.595328097381899, 4.613925299336834, 4.810896422593824, 4.631775789683865]",1735505426,checkpoint_000003,True,True,2024-12-29_20-50-26,2152.3500633239746,8632.793437242508,827,cc55921bbbc5,172.18.0.2,8632.793437242508,4,"0_positional_learnable=True,pred_token=True,use_lstm=True",True,True,True
6d10d_00001,5.572341996024411,4.637782303556319,4,"[5.805186960591849, 5.581729075037332, 5.558393806338789, 5.572341996024411]","[4.639716047433115, 4.891671676789561, 4.801362162636172, 4.637782303556319]",1735514100,checkpoint_000003,True,True,2024-12-29_23-15-00,2161.3528695106506,8671.357793331146,3532,cc55921bbbc5,172.18.0.2,8671.357793331146,4,"1_positional_learnable=False,pred_token=True,use_lstm=True",True,True,False
6d10d_00002,600.0792111124858,40.98933166073215,4,"[6.596386820915712, 5.644287581903389, 369.9650619120962, 600.0792111124858]","[5.088934627271468, 4.665675864104302, 636.1514050883632, 40.98933166073215]",1735522747,checkpoint_000003,True,True,2024-12-30_01-39-07,2162.392359495163,8643.48021364212,6186,cc55921bbbc5,172.18.0.2,8643.48021364212,4,"2_positional_learnable=True,pred_token=False,use_lstm=True",False,True,True
6d10d_00003,5.601870138003644,4.792368943652799,4,"[6.696266992025107, 5.651112303676375, 5.6139152945284865, 5.601870138003644]","[4.8472808964790834, 4.508658169738708, 4.838829453914396, 4.792368943652799]",1735531381,checkpoint_000003,True,True,2024-12-30_04-03-01,2144.131147146225,8631.887691736221,8830,cc55921bbbc5,172.18.0.2,8631.887691736221,4,"3_positional_learnable=False,pred_token=False,use_lstm=True",False,True,False
6d10d_00004,5.529053191583319,4.619008483425263,4,"[5.907738806253456, 5.573718431484268, 5.5385792494777695, 5.529053191583319]","[4.6191412614237874, 4.632209319260813, 4.777817010879517, 4.619008483425263]",1735539707,checkpoint_000003,True,True,2024-12-30_06-21-47,2077.0557565689087,8322.185888290405,11471,cc55921bbbc5,172.18.0.2,8322.185888290405,4,"4_positional_learnable=True,pred_token=True,use_lstm=False",True,False,True
6d10d_00005,5.519464171076396,4.4719468037928305,4,"[5.915128169289554, 5.5799068992875185, 5.554000931571286, 5.519464171076396]","[4.756441522029139, 4.517301645971114, 4.410934699158514, 4.4719468037928305]",1735548056,checkpoint_000003,True,True,2024-12-30_08-40-56,2085.407089948654,8346.824491739273,14021,cc55921bbbc5,172.18.0.2,8346.824491739273,4,"5_positional_learnable=False,pred_token=True,use_lstm=False",True,False,False
6d10d_00006,5.736117425692608,4.943068908106897,2,"[6.9921227679195175, 5.736117425692608]","[5.044829027306649, 4.943068908106897]",1735552206,checkpoint_000001,True,True,2024-12-30_09-50-06,2068.9089694023132,4147.033167600632,16577,cc55921bbbc5,172.18.0.2,4147.033167600632,2,"6_positional_learnable=True,pred_token=False,use_lstm=False",False,False,True
6d10d_00007,5.717494034384149,4.815468926583567,2,"[6.956195464574669, 5.717494034384149]","[4.936498421815134, 4.815468926583567]",1735556379,checkpoint_000001,True,True,2024-12-30_10-59-39,2080.388093471527,4169.993077754974,17876,cc55921bbbc5,172.18.0.2,4169.993077754974,2,"7_positional_learnable=False,pred_token=False,use_lstm=False",False,False,False
