,Augmentation,Match_siglen,diffA,diffB,diffC,DTW_value,dist_value
0,best_30_epochs,True,0.2796348174087044,0.3452726363181591,0.2957728864432216,595.663331665833,741.599299649825
1,best_30_epochs_lstm,True,0.26610805402701354,0.345927963981991,0.2879739869934968,552.8969484742371,713.431715857929
2,best_30_epochs,False,0.3076138069034517,0.31737868934467234,0.297823911955978,716.3806903451726,589.6508254127064
3,best_30_epochs_lstm,False,0.2867883941970985,0.32120560280140065,0.2876688344172086,608.2236118059029,548.8989494747374
